,Document
10,"Though Mrityudaata attempted to reprise Bachchan's earlier success as an action hero, the film was a failure both financially and critically. Gopinath, Gayatri (2008). India won the series 1–0.Tendulkar rested himself for the ODI tour of West Indies, but was back for the Compaq Cup Tri Series between India, Sri Lanka and New Zealand in early September 2009. He scored 137 off 136 balls, with 21 fours and 3 sixes, to take his team to 344 for 4 at stumps on day one.However, because of a poor form in the first two Tests in the series against England, and India being humiliated in the second match of that series by 10 wickets on 26 November 2012, some people have started to question his place in the Indian team. He started a monthly radio programme titled ""Mann Ki Baat"" on 3 October 2014. Other organisations affected included the Sierra Club and Avaaz. Pepper's ""She's Leaving Home"", for instance, is ""cast in the mold of a sentimental Victorian ballad"", Gould writes, ""its words and music filled with the clichés of musical melodrama"".The band's stylistic range expanded in another direction with their 1966 B-side ""Rain"", described by Martin Strong as ""the first overtly psychedelic Beatles record"". The Beatles to go along with Capitol's debut album, Meet the Beatles!, while Swan reactivated production of ""She Loves You"". The video of the single ""Anybody Seen My Baby?"" It reached No."
11,"Bachchan embraces the character's many idiosyncrasies, never once slipping into caricature while all along delivering big laughs thanks to his spot-on comic timing. doi:10.1353/vlt.2003.0007. He bats at no. ==== 100th international century ====
Tendulkar scored his 100th international hundred on 16 March 2012, at Mirpur against Bangladesh in the Asia Cup. This represented a break with India's historic engagement with Myanmar, which prioritised border security over trade. He was conferred the 2018 Seoul Peace Prize in recognition of his dedication to improving international co-operation, raising global economic growth, accelerating the Human Development of the people of India by fostering economic growth and furthering the development of democracy through anti-corruption and social integration efforts. ""Ian MacDonald describes McCartney as ""a natural melodist – a creator of tunes capable of existing apart from their harmony"". City officials relented and agreed to allow an integrated show. 2, was released in January 1965 and reached No. The album met with strong reviews and sales, going double platinum in the US."
12,"The next year, he played the role of a grumpy father suffering from chronic constipation in the critically acclaimed Piku which was also one of the biggest hits of 2015. ISSN 1464-9373. In this period, in the third Test match against England in August 2002, Sachin scored his 30th Test century to surpass Bradman's haul, in his 99th Test match. He also take a wicket of Shane Warne. He won in both constituencies, defeating Aam Aadmi Party leader Arvind Kejriwal in Varanasi and Madhusudan Mistry of the INC in Vadodara by 570,128 votes. Modi curtailed the influence of Sangh Parivar organisations such as the Bharatiya Kisan Sangh (BKS) and the Vishva Hindu Parishad (VHP), entrenched in the state after the decline of Ahmedabad's textile industry, and dropped Gordhan Zadafia (an ally of former Sangh co-worker and VHP state chief Praveen Togadia) from his cabinet. The LP contained all original material save for two covers, ""Act Naturally"" and ""Dizzy Miss Lizzy""; they were the last covers the band would include on an album, except for Let It Be's brief rendition of the traditional Liverpool folk song ""Maggie Mae"". Lennon recalled him saying, ""Look, if you really want to get in these bigger places, you're going to have to change – stop eating on stage, stop swearing, stop smoking ...."" Lennon said: ""We used to dress how we liked, on and off stage. It was not a great moment really—and I would have thought it wasn't a great moment for Andrew either. There's a lot of anger in the music from that period."
13,"The film is currently ""shelved"" indefinitely.Vivek Sharma's Bhoothnath, in which he plays the title role as a ghost, was released on 9 May 2008. However, as he jumped towards the table, the corner of the table struck his abdomen, resulting in a splenic rupture from which he lost a significant amount of blood. Shortly after the victory, Tendulkar commented that ""Winning the World Cup is the proudest moment of my life. Despite Tendulkar's century, India failed to win the match against Bangladesh, losing by 5 wickets. During this period, Modi wrote a book in Gujarati, Sangharsh Ma Gujarat (In The Struggles of Gujarat), describing events during the Emergency. Gujarat also had a high rate of economic growth in the 1990s, before Modi took office, and scholars have stated that growth did not accelerate during Modi's tenure. ""Author Dominic Pedler describes the way they crossed musical styles: ""Far from moving sequentially from one genre to another (as is sometimes conveniently suggested) the group maintained in parallel their mastery of the traditional, catchy chart hit while simultaneously forging rock and dabbling with a wide range of peripheral influences from country to vaudeville. I'd sooner lose our appearance money."" Nevertheless, the final cut was without the planned horn overdubs. It gave us a level of confidence; a pathway of how to do it."
14,"His ancestors on his father's side came from a village called Babupatti, in the Raniganj tehsil, in the Pratapgarh district, in the present-day state of Uttar Pradesh, in India. === Career fluctuations and retirement (1988–1992) ===

After a three-year stint in politics from 1984 to 1987, Bachchan returned to films in 1988, playing the title role in Shahenshah, which was a box office success. ISBN 978-93-80571-84-3
Dhruvtara, a book on cricket maestro Sachin Tendulkar, was launched as an audio book on Monday, 15 October 2012 to mark White Cane Day. If he became exhausted, Achrekar would put a one-rupee coin on the top of the stumps, and the bowler who dismissed Tendulkar would get the coin. Modi has relied upon his reputation as a politician able to bring about economic growth and ""development"". Sanitation cover in the country increased from 38.7% in October 2014 to 84.1% in May 2018; however, usage of the new sanitary facilities lagged behind the government's targets. On the basis of this perception, Sgt. Back in New York the following day, the Beatles met with another strong reception during two shows at Carnegie Hall. In October 2011, the Stones released The Rolling Stones: Some Girls Live In Texas '78 to cinemas. Given an A+ grade by critic Robert Christgau and disparaged by Lester Bangs—who reversed his opinion within months—Exile is now accepted as one of the Stones' best albums."
15,"The sixth season was also hosted by Bachchan, commencing on 7 September 2012, broadcast on Sony TV and received the highest number of viewers thus far.In 2014, he debuted in the fictional Sony Entertainment Television TV series titled Yudh playing the lead role of a businessman battling both his personal and professional life. (2009)
Ra.One (2011)
Kahaani (2012)
Krrish 3 (2013)
Mahabharat (2013)
Kochadaiiyaan (Hindi Version) (2014)
The Ghazi Attack (2017)


=== Humanitarian causes ===

Bachchan has been involved with many social causes. At his request, the BCCI arranged that the two matches be played at Kolkata and Mumbai so that the farewell would happen at his home ground. === 2007 Cricket World Cup ===
During the preparation for the 2007 World Cup, Tendulkar's attitude was criticised by Indian team coach Greg Chappell. One of Modi's first visits as prime minister was to Nepal, during which he promised a billion USD in aid. The next day, the Vishwa Hindu Parishad called for a bandh across the state. The film premiered in London and New York in July and August, respectively, and was an international success, with some critics drawing a comparison with the Marx Brothers.United Artists released a full soundtrack album for the North American market, combining Beatles songs and Martin's orchestral score; elsewhere, the group's third studio LP, A Hard Day's Night, contained songs from the film on side one and other new recordings on side two. From late May to mid-October 1968, the group recorded what became The Beatles, a double LP commonly known as ""the White Album"" for its virtually featureless cover. Later, Oldham reduced the band members' ages in publicity material to make them appear as teenagers.Decca Records, which had declined to sign a deal with the Beatles, gave the Rolling Stones a recording contract with favourable terms. Designer John Pasche created the logo following a suggestion by Jagger to copy the out stuck tongue of the Hindu goddess Kali."
16,"His illness made him feel weak both mentally and physically and he decided to quit films and venture into politics. The film was a success at the box office. He met with some controversy over his attendance at Rajya Sabha proceedings. In 2008, Sunil Gavaskar, in an article he wrote in the AFP, remarked that ""it is hard to imagine any player in the history of the game who combines classical technique with raw aggression like the little champion does"". The loss of jobs was attributed to the 2016 demonetisation, and to the effects of the Goods and Services Tax. However, sociologists have pointed out that the growth rate under the 1992–97 INC government was 12.9 percent. That ""ringing guitar"" sound was primarily the product of Harrison's 12-string electric Rickenbacker, a prototype given to him by the manufacturer, which made its debut on the record. The album caught the attention of music critic William Mann of The Times, who suggested that Lennon and McCartney were ""the outstanding English composers of 1963"". The music video for ""Doom and Gloom"" featuring Noomi Rapace was released on 20 November. The tour was Bill Wyman's last."
17,"His performance was unanimously praised by critics and audiences and won him his second National Film Award for Best Actor, his fourth Filmfare Best Actor Award and his second Filmfare Critics Award for Best Actor. doi:10.1177/097325860600100201. In a five-ODI series against Pakistan, he was caught by Kamran Akmal off the bowling of Umar Gul for 99 in the second match at Mohali, and in the fourth match of that series, he got out in the 90s for a second time, scoring 97 before dragging a delivery from Gul on to his stumps. 1 ranked Test side. During this period, Modi wrote a book in Gujarati, Sangharsh Ma Gujarat (In The Struggles of Gujarat), describing events during the Emergency. Modi also launched the Digital India programme, with the goal of ensuring that government services are available electronically, building infrastructure to provide high-speed Internet access to rural areas, boosting manufacturing of electronic goods in the country, and promoting digital literacy.Modi launched Ujjwala scheme to provide free LPG connection to rural households. However, three months later, producer George Martin signed the Beatles to EMI's Parlophone label. Of ""Norwegian Wood"" Lennon commented: ""I was trying to be sophisticated in writing about an affair ... but in such a smokescreen way that you couldn't tell."" In November 2012, the Stones began their 50 & Counting... tour at London's O2 Arena, where they were joined by Jeff Beck. Due to the 2.5 km (1.6 mi) length of the beach on which the Stones performed, sound systems had to be set up in a relay pattern down the length of the beach, to keep the sound in sync with the music from the stage; for every three hundred and forty metres (1,120 ft) of beach, the sound had to be delayed an additional second."
18,"The Bachchan family also bought shares worth $252,000 in Meridian Tech, a consulting company in U.S. In 1983, he played a triple role in Mahaan which was not as successful as his previous films. "".Tendulkar, succeeding Azharuddin as captain for his second term, led India on a tour of Australia, where the visitors were beaten 3–0 by the newly crowned world champions. Later in his career, Tendulkar was a part of the Indian team that won the 2011 World Cup, his first win in six World Cup appearances for India. These included no longer requiring clearance from the National Board for Wildlife for projects close to protected areas, and allowing certain projects to proceed before environmental clearance was received. Modi returned to electoral politics in 1994, partly at the insistence of Advani, and as party secretary, Modi's electoral strategy was considered central to the BJP victory in the 1995 state assembly elections. Pepper's Lonely Hearts Club Band, beginning in late November 1966. Recognising that their shows were no longer about the music, they decided to make the August tour their last. Their third anniversary concert took place on 8 December at the Barclays Center, Brooklyn, New York. In the mid-1950s, Jagger formed a garage band with his friend Dick Taylor; the group mainly played material by Muddy Waters, Chuck Berry, Little Richard, Howlin' Wolf and Bo Diddley."
19,"Aftab, Kaleem (2002). Quarterly Review of Film and Video. 22 lakh from his MPLAD funds allotted to him during his stint as Rajya Sabha MP for the renovation of a Children's Park in East Bandra. He appears to show little preference for the slow and low wickets which are typical in India, and has scored many centuries on the hard, bouncy pitches in South Africa and Australia. During this period, known as ""The Emergency"", many of her political opponents were jailed and opposition groups were banned. Officials in the government, including the Home Minister, defended the conversion programmes. Unterberger considers it ""a fitting swan song for the group"", containing ""some of the greatest harmonies to be heard on any rock record"". Ultimately, what would be their final live performance was filmed on the rooftop of the Apple Corps building at 3 Savile Row, London, on 30 January 1969. On 7 April, they visited the Ealing Jazz Club where they met the members of Blues Incorporated, who included slide guitarist Brian Jones, keyboardist Ian Stewart and drummer Charlie Watts. Because Oldham was only nineteen and had not reached the age of majority—he was also younger than anyone in the band—he could not obtain an agent's licence or sign any contracts without his mother co-signing."
20,"At this time he became pessimistic, expressing concern with how a new film would be received, and stating before every release, ""Yeh film to flop hogi!"" Jha, Priya (2003). This was also his 81st hundred in first-class cricket, equalling Sunil Gavaskar's Indian record for most first-class hundreds. In the first meeting, the young Sachin did not play his best. In the subsequent year, the number of income tax returns filed for individuals rose by 25%, and the number of digital transactions increased steeply.Over the first four years of Modi's premiership, India's GDP grew at an average rate of 7.23%, higher than the rate of 6.39% under the previous government. Shortly afterwards, the RSS was banned. Biographers Peter Brown and Steven Gaines attribute the new musical direction to ""the Beatles' now habitual use of marijuana"", an assertion confirmed by the band – Lennon referred to it as ""the pot album"", and Starr said: ""Grass was really influential in a lot of our changes, especially with the writers. By early 1964, the Beatles were international stars, leading the ""British Invasion"" of the United States pop market and breaking numerous sales records. During the break Keith Richards was hospitalised in New Zealand for cranial surgery after a fall from a tree on Fiji, where he had been on holiday. The Guardian commented that their ""combination of front-of-house excellence and behind the scenes savvy took the business of touring to an entirely new level."""
21,"In that same year, the judges of the 50th annual Filmfare Awards awarded it with the special distinction award called the Filmfare Best Film of 50 Years. === Rise to stardom (1973–1974) ===

Bachchan was struggling, seen as a ""failed newcomer"" who, by the age of 30, had twelve flops and only two hits (as a lead in Bombay to Goa and supporting role in Anand). Tendulkar made 618 runs in 14 innings during the tournament, breaking Shaun Marsh's record of most runs in an IPL season. The team has been named as Kerala Blasters after his nickname ""Master Blaster"". The Sardar Sarovar project only irrigated 4–6% of the area intended. To comply with the law that an MP cannot represent more than one constituency, he vacated the Vadodara seat. The recipients of seven Grammy Awards and fifteen Ivor Novello Awards, the Beatles have six Diamond albums, as well as 20 Multi-Platinum albums, 16 Platinum albums and six Gold albums in the United States. The sessions initially yielded the non-album double A-side single ""Strawberry Fields Forever""/""Penny Lane"" in February 1967; the Sgt. 1 in the US. 3 in the UK."
22,"Journal of Creative Communications. Salim Khan introduced Bachchan to Prakash Mehra, and Salim-Javed insisted that Bachchan be cast for the role.Zanjeer was a crime film with violent action, in sharp contrast to the romantically themed films that had generally preceded it, and it established Amitabh in a new persona—the ""angry young man"" of Bollywood cinema. In all, he scored 215 runs at an average of 35.83 in the Test series, and was dismissed without scoring a run in the only One Day International (ODI) he played. == International career ==


=== Early career ===
Raj Singh Dungarpur is credited for the selection of Tendulkar for the Indian tour of Pakistan in late 1989, after one first class season. His first year as prime minister saw significant centralisation of power relative to previous administrations. In addition to more conventional campaign methods, Modi made extensive use of social media, and addressed more than 1000 rallies via hologram appearances.The BJP won 31% of the vote, and more than doubled its tally in the Lok Sabha to 282, becoming the first party to win a majority of seats on its own since 1984. The next day, the band began its fourth tour of Britain within nine months, this one scheduled for six weeks. Revolver featured sophisticated songwriting, studio experimentation, and a greatly expanded repertoire of musical styles, ranging from innovative classical string arrangements to psychedelic rock. Andrew Oldham was afraid of being arrested and fled to America. It featured ""Gimme Shelter"" with guest lead female vocals by Merry Clayton (sister of Sam Clayton, of the American rock band Little Feat)."
23,"Bachchan had, however, pleaded that he had mortgaged his bungalow to raise funds for his company.Bachchan attempted to revive his acting career, and eventually had commercial success with Bade Miyan Chote Miyan (1998) and Major Saab (1998), and received positive reviews for Sooryavansham (1999), but other films such as Lal Baadshah (1999) and Hindustan Ki Kasam (1999) were box office failures. Bachchan continued to host KBC until 2017. === 2011 Cricket World Cup and after ===
From February to April, Bangladesh, India, and Sri Lanka hosted the 2011 World Cup. He retired from Twenty20 cricket in October 2013 and subsequently retired from all forms of cricket on 16 November 2013 after playing his 200th Test match, against the West Indies in Mumbai's Wankhede Stadium. After L. K. Advani became president of the BJP in 1986, the RSS decided to place its members in important positions within the BJP; Modi's work during the Ahmedabad election led to his selection for this role, and Modi was elected organising secretary of the BJP's Gujarat unit later in 1987.Modi rose within the party and was named a member of the BJP's National Election Committee in 1990, helping organise L. K. Advani's 1990 Ram Rath Yatra in 1990 and Murli Manohar Joshi's 1991–92 Ekta Yatra (Journey for Unity). In July 2011, the court-appointed amicus curiae Raju Ramachandran submitted his final report to the court. In April 2009, Starr performed three songs with McCartney at a benefit concert held at New York's Radio City Music Hall and organised by McCartney. The elaborate cover also attracted considerable interest and study. Later in 1963 Oldham and Easton arranged the band's first big UK concert tour as a supporting act for American stars including Bo Diddley, Little Richard and the Everly Brothers. It had a number of firsts for the group: it was the first Stones recording to feature brass horns and the back-cover photo on the original US picture sleeve depicted the group satirically dressed in drag."
24,"His father was a poet, who was fluent in Awadhi and Urdu.Bachchan was initially named Inquilaab, inspired by the phrase Inquilab Zindabad (which translates into English as ""Long live the revolution"") popularly used during the Indian independence struggle. After the release of the critically acclaimed epic Khuda Gawah in 1992, Bachchan went into semi-retirement for five years. India were due to tour the West Indies in June, although Tendulkar chose not to participate. It took him 78 ODIs to score his first century. The train carried a large number of Hindu pilgrims returning from Ayodhya after a religious ceremony at the site of the demolished Babri Masjid. == Early political career ==
In June 1975, Prime Minister Indira Gandhi declared a state of emergency in India which lasted until 1977. McCartney was initially reluctant to try it, but eventually did so in late 1966. === Influences ===
The band's earliest influences include Elvis Presley, Carl Perkins, Little Richard and Chuck Berry. Likewise, Watts is primarily a jazz player who was able to bring that genre's influences to the style of the band's drumming. He also declared his growing lack of interest in the Rolling Stones."
25,"According to Raja Sen of Rediff.com, ""Amitabh Bachchan, a retired lawyer suffering from bipolar disorder, takes up cudgels on behalf of the girls, delivering courtroom blows with pugilistic grace. Bachchan continued to host KBC until 2017. Ajit requested the coach to give him another chance at playing, but watch while hiding behind a tree. Around 100,000 people came to support India during the initial four days of the tournament, breaking a 63-year-old record for aggregate Test attendance record. Development in Gujarat was generally limited to the urban middle class, and citizens in rural areas or from lower castes were increasingly marginalised. The state government stated later that 790 Muslims and 254 Hindus were killed. The coroner ruled the death an accidental carbitol overdose, although it was widely rumoured to be a suicide. With Starr's participation, Harrison staged the Concert for Bangladesh in New York City in August 1971. Jagger and Mick Taylor also recorded a session together in London where Taylor added lead guitar to what would be the expanded album's single, ""Plundered My Soul"". 26 in the UK and Number 41 in the US, met with moderate commercial success."
26,"Indiatimes Movies ranks Deewaar amongst the Top 25 Must See Bollywood Films. ISSN 1474-6689. 1998, 2010 – Wisden Leading Cricketer in the World. Sachin served as a ball boy in the 1987 Cricket World Cup when India played against England in the semifinal in Bombay. Following his party's victory in the 2019 general election, his administration revoked the special status of Jammu and Kashmir. The RSS assigned him to the BJP in 1985 and he held several positions within the party hierarchy until 2001, rising to the rank of general secretary. The set, titled The Beatles Bootleg Recordings 1963, had the opportunity to gain a 70-year copyright extension conditional on the songs being published at least once before the end of 2013. == Awards and achievements ==

In 1965, Queen Elizabeth II appointed Lennon, McCartney, Harrison and Starr Members of the Order of the British Empire (MBE). Likewise, Watts is primarily a jazz player who was able to bring that genre's influences to the style of the band's drumming. 1050 CHUM, a local radio station, ran a contest for free tickets to see April Wine."
